date,doy,linear_fill,is_real_obs,gap_days_to_obs,sg_w11_p2,sg_w11_p3,sg_w21_p2,sg_w21_p3,sg_w31_p2,sg_w31_p3,sg_w41_p2,sg_w41_p3
2026-03-04,170,0.17107171784294417,False,5.0,0.17107171784294414,0.17107171784294414,0.1717399802899257,0.1717399802899256,0.1703088043729294,0.17030880437292942,0.16961388060439953,0.16961388060439994
2026-03-05,171,0.17439792224044415,False,4.0,0.17480853000131027,0.17480853000131025,0.17455392423209695,0.17455392423209684,0.17232232926855748,0.17232232926855748,0.17145447543606723,0.17145447543606762
2026-03-06,172,0.1777241266379441,False,3.0,0.17844269021945985,0.17844269021945985,0.17699780736583198,0.1769978073658319,0.17431167720771407,0.17431167720771404,0.17326461949960378,0.17326461949960417
2026-03-07,173,0.18105033103544405,False,2.0,0.18157499650766193,0.1815749965076619,0.17906331382335022,0.17906331382335008,0.17624860219575755,0.17624860219575755,0.17510188319835351,0.17510188319835399
2026-03-08,174,0.184376535432944,False,1.0,0.1839203045875371,0.18392030458753714,0.18073875741266887,0.18073875741266876,0.17810571743294737,0.17810571743294734,0.1769360924483772,0.17693609244837763
2026-03-09,175,0.18770273983044394,True,0.0,0.1853075278920579,0.1853075278920579,0.18200908161760335,0.1820090816176033,0.17985649531444367,0.17985649531444362,0.17873838528958153,0.178738385289582
2026-03-10,176,0.18613586841095528,False,1.0,0.18538263998041404,0.18538263998041404,0.18296098854247475,0.18296098854247467,0.18147526743030762,0.1814752674303076,0.18032468487180323,0.18032468487180367
2026-03-11,177,0.1845689969914666,False,2.0,0.1845739166896994,0.18457391668969944,0.18372944929559482,0.18372944929559476,0.18293722456550127,0.18293722456550127,0.18170994480209365,0.18170994480209407
2026-03-12,178,0.18300212557197792,False,2.0,0.18334119223915543,0.18334119223915543,0.1843266948279702,0.18432669482797018,0.18430699846904974,0.18430699846904974,0.18290831843599406,0.1829083184359945
2026-03-13,179,0.18143525415248923,False,1.0,0.18217585923017127,0.1821758592301713,0.1847755297898722,0.18477552978987208,0.18552986196958765,0.18552986196958765,0.18393315887753556,0.18393315887753603
2026-03-14,180,0.17986838273300057,True,0.0,0.1816008686462839,0.18160086864628391,0.18510933253083647,0.18510933253083647,0.18655412890762468,0.18655412890762466,0.18479701897923934,0.18479701897923978
2026-03-15,181,0.18184073253636218,False,1.0,0.1823285457981472,0.1823285457981472,0.18537205509966356,0.18537205509966354,0.18713238890647318,0.18713238890647316,0.18551165134211622,0.1855116513421166
2026-03-16,182,0.1838130823397238,False,2.0,0.18370976332908154,0.18370976332908154,0.18561822324441818,0.18561822324441815,0.18742531648577998,0.18742531648578,0.18608800831566702,0.1860880083156674
2026-03-17,183,0.18578543214308543,False,2.0,0.18546734007656093,0.185467340076561,0.18603354752580983,0.18603354752580983,0.18749623190042322,0.18749623190042328,0.18653624199788227,0.18653624199788266
2026-03-18,184,0.18775778194644704,False,1.0,0.18728543331134695,0.18728543331134695,0.18662669491633238,0.18662669491633235,0.18740901232744842,0.18740901232744842,0.18686570423524274,0.18686570423524315
2026-03-19,185,0.18973013174980866,True,0.0,0.18880953873748849,0.1888095387374885,0.18742395936922843,0.18742395936922843,0.18722809186606876,0.18722809186606876,0.18708494662271874,0.18708494662271924
2026-03-20,186,0.18982184154228765,False,1.0,0.18964649049232185,0.18964649049232188,0.18819862717429034,0.18819862717429037,0.18701846153766502,0.18701846153766502,0.18692330524656378,0.1869233052465642
